Episode: 74, step: 9, Pop: 8/5, Epsilon: 0.76, Mean Loss: 37.84, Median Loss: 37.84, Std Loss: 37.84, Mean Reward: -1.37, Median Reward: 0.45, Std Reward: -68.40
Episode: 75, step: 9, Pop: 7/5, Epsilon: 0.75, Mean Loss: 60.01, Median Loss: 60.01, Std Loss: 60.01, Mean Reward: -0.15, Median Reward: 0.95, Std Reward: -7.50
Episode: 76, step: 9, Pop: 5/5, Epsilon: 0.75, Mean Loss: 44.35, Median Loss: 44.35, Std Loss: 44.35, Mean Reward: 1.81, Median Reward: 0.95, Std Reward: 90.50
Episode: 77, step: 9, Pop: 8/5, Epsilon: 0.75, Mean Loss: 58.30, Median Loss: 58.30, Std Loss: 58.30, Mean Reward: -2.42, Median Reward: 0.45, Std Reward: -121.20
Episode: 78, step: 9, Pop: 6/5, Epsilon: 0.74, Mean Loss: 68.68, Median Loss: 68.68, Std Loss: 68.68, Mean Reward: -0.26, Median Reward: 0.95, Std Reward: -12.90
Episode: 79, step: 9, Pop: 10/5, Epsilon: 0.74, Mean Loss: 41.36, Median Loss: 41.36, Std Loss: 41.36, Mean Reward: -3.01, Median Reward: 0.95, Std Reward: -150.50
Episode: 80, step: 9, Pop: 6/5, Epsilon: 0.74, Mean Loss: 52.53, Median Loss: 52.53, Std Loss: 52.53, Mean Reward: 0.21, Median Reward: 0.95, Std Reward: 10.60
Episode: 81, step: 9, Pop: 5/5, Epsilon: 0.74, Mean Loss: 69.98, Median Loss: 69.98, Std Loss: 69.98, Mean Reward: 0.17, Median Reward: 0.95, Std Reward: 8.50
Episode: 82, step: 9, Pop: 8/5, Epsilon: 0.73, Mean Loss: 50.72, Median Loss: 50.72, Std Loss: 50.72, Mean Reward: -1.12, Median Reward: 0.45, Std Reward: -56.00
Episode: 83, step: 9, Pop: 9/5, Epsilon: 0.73, Mean Loss: 49.74, Median Loss: 49.74, Std Loss: 49.74, Mean Reward: -2.67, Median Reward: 0.95, Std Reward: -133.50
Episode: 84, step: 9, Pop: 6/5, Epsilon: 0.73, Mean Loss: 66.99, Median Loss: 66.99, Std Loss: 66.99, Mean Reward: -0.34, Median Reward: 0.95, Std Reward: -16.80
Episode: 85, step: 9, Pop: 7/5, Epsilon: 0.72, Mean Loss: 73.83, Median Loss: 73.83, Std Loss: 73.83, Mean Reward: -1.20, Median Reward: 0.95, Std Reward: -60.00
Episode: 86, step: 9, Pop: 8/5, Epsilon: 0.72, Mean Loss: 39.14, Median Loss: 39.14, Std Loss: 39.14, Mean Reward: -0.91, Median Reward: 0.95, Std Reward: -45.50
Episode: 87, step: 9, Pop: 8/5, Epsilon: 0.72, Mean Loss: 46.96, Median Loss: 46.96, Std Loss: 46.96, Mean Reward: -0.99, Median Reward: 0.45, Std Reward: -49.40
Episode: 88, step: 9, Pop: 5/5, Epsilon: 0.72, Mean Loss: 38.75, Median Loss: 38.75, Std Loss: 38.75, Mean Reward: 1.25, Median Reward: 0.95, Std Reward: 62.50
Episode: 89, step: 9, Pop: 9/5, Epsilon: 0.71, Mean Loss: 41.63, Median Loss: 41.63, Std Loss: 41.63, Mean Reward: -1.59, Median Reward: 0.95, Std Reward: -79.50
Episode: 90, step: 9, Pop: 4/5, Epsilon: 0.71, Mean Loss: 36.69, Median Loss: 36.69, Std Loss: 36.69, Mean Reward: -0.09, Median Reward: 0.95, Std Reward: -4.50
Episode: 91, step: 9, Pop: 8/5, Epsilon: 0.71, Mean Loss: 40.38, Median Loss: 40.38, Std Loss: 40.38, Mean Reward: -1.35, Median Reward: 0.95, Std Reward: -67.50
Episode: 92, step: 9, Pop: 7/5, Epsilon: 0.71, Mean Loss: 18.77, Median Loss: 18.77, Std Loss: 18.77, Mean Reward: -1.07, Median Reward: 0.95, Std Reward: -53.50
Episode: 93, step: 9, Pop: 9/5, Epsilon: 0.70, Mean Loss: 49.40, Median Loss: 49.40, Std Loss: 49.40, Mean Reward: -2.65, Median Reward: 0.45, Std Reward: -132.70
Episode: 94, step: 9, Pop: 7/5, Epsilon: 0.70, Mean Loss: 53.84, Median Loss: 53.84, Std Loss: 53.84, Mean Reward: -0.63, Median Reward: 0.95, Std Reward: -31.50
Episode: 95, step: 9, Pop: 7/5, Epsilon: 0.70, Mean Loss: 32.16, Median Loss: 32.16, Std Loss: 32.16, Mean Reward: -0.01, Median Reward: 0.95, Std Reward: -0.50
Episode: 96, step: 9, Pop: 8/5, Epsilon: 0.69, Mean Loss: 52.73, Median Loss: 52.73, Std Loss: 52.73, Mean Reward: 0.02, Median Reward: 0.95, Std Reward: 0.80
Episode: 97, step: 9, Pop: 8/5, Epsilon: 0.69, Mean Loss: 24.59, Median Loss: 24.59, Std Loss: 24.59, Mean Reward: -1.01, Median Reward: 0.70, Std Reward: -50.50
Episode: 98, step: 9, Pop: 10/5, Epsilon: 0.69, Mean Loss: 55.07, Median Loss: 55.07, Std Loss: 55.07, Mean Reward: -0.62, Median Reward: 0.95, Std Reward: -31.00
Episode: 99, step: 9, Pop: 7/5, Epsilon: 0.69, Mean Loss: 45.48, Median Loss: 45.48, Std Loss: 45.48, Mean Reward: -0.44, Median Reward: 0.95, Std Reward: -22.00
Episode: 100, step: 9, Pop: 5/5, Epsilon: 0.68, Mean Loss: 58.51, Median Loss: 58.51, Std Loss: 58.51, Mean Reward: 1.71, Median Reward: 0.95, Std Reward: 85.50
Episode: 101, step: 9, Pop: 7/5, Epsilon: 0.68, Mean Loss: 52.15, Median Loss: 52.15, Std Loss: 52.15, Mean Reward: 0.35, Median Reward: 0.95, Std Reward: 17.30
Episode: 102, step: 9, Pop: 8/5, Epsilon: 0.68, Mean Loss: 41.70, Median Loss: 41.70, Std Loss: 41.70, Mean Reward: -2.12, Median Reward: 0.45, Std Reward: -106.00
Episode: 103, step: 9, Pop: 9/5, Epsilon: 0.68, Mean Loss: 32.38, Median Loss: 32.38, Std Loss: 32.38, Mean Reward: -0.80, Median Reward: 0.95, Std Reward: -40.00
Episode: 104, step: 9, Pop: 8/5, Epsilon: 0.67, Mean Loss: 51.12, Median Loss: 51.12, Std Loss: 51.12, Mean Reward: -2.60, Median Reward: 0.95, Std Reward: -130.00
Episode: 105, step: 9, Pop: 8/5, Epsilon: 0.67, Mean Loss: 47.57, Median Loss: 47.57, Std Loss: 47.57, Mean Reward: -2.44, Median Reward: -0.05, Std Reward: -122.20
