Episode: 66, step: 9, Pop: 6/5, Epsilon: 0.78, Mean Loss: 47.13, Median Loss: 47.13, Std Loss: 47.13, Mean Reward: -0.96, Median Reward: 0.00, Std Reward: -65.20
Episode: 67, step: 9, Pop: 9/5, Epsilon: 0.78, Mean Loss: 63.07, Median Loss: 63.07, Std Loss: 63.07, Mean Reward: 0.76, Median Reward: 2.00, Std Reward: 68.50
Episode: 68, step: 9, Pop: 7/5, Epsilon: 0.77, Mean Loss: 35.73, Median Loss: 35.73, Std Loss: 35.73, Mean Reward: -2.70, Median Reward: 0.00, Std Reward: -254.10
Episode: 69, step: 9, Pop: 9/5, Epsilon: 0.77, Mean Loss: 45.36, Median Loss: 45.36, Std Loss: 45.36, Mean Reward: -1.25, Median Reward: 0.00, Std Reward: -123.30
Episode: 70, step: 9, Pop: 5/5, Epsilon: 0.77, Mean Loss: 66.51, Median Loss: 66.51, Std Loss: 66.51, Mean Reward: -0.41, Median Reward: 0.00, Std Reward: -29.40
Episode: 71, step: 9, Pop: 9/5, Epsilon: 0.76, Mean Loss: 62.57, Median Loss: 62.57, Std Loss: 62.57, Mean Reward: 0.24, Median Reward: 0.00, Std Reward: 22.80
Episode: 72, step: 9, Pop: 6/5, Epsilon: 0.76, Mean Loss: 80.35, Median Loss: 80.35, Std Loss: 80.35, Mean Reward: -1.96, Median Reward: 0.00, Std Reward: -158.80
Episode: 73, step: 9, Pop: 6/5, Epsilon: 0.76, Mean Loss: 49.17, Median Loss: 49.17, Std Loss: 49.17, Mean Reward: 0.61, Median Reward: 2.00, Std Reward: 45.30
Episode: 74, step: 9, Pop: 10/5, Epsilon: 0.76, Mean Loss: 60.00, Median Loss: 60.00, Std Loss: 60.00, Mean Reward: 1.17, Median Reward: 2.00, Std Reward: 116.90
Episode: 75, step: 9, Pop: 6/5, Epsilon: 0.75, Mean Loss: 43.66, Median Loss: 43.66, Std Loss: 43.66, Mean Reward: -0.34, Median Reward: 0.00, Std Reward: -28.20
Episode: 76, step: 9, Pop: 6/5, Epsilon: 0.75, Mean Loss: 57.89, Median Loss: 57.89, Std Loss: 57.89, Mean Reward: -0.24, Median Reward: 2.00, Std Reward: -17.10
Episode: 77, step: 9, Pop: 7/5, Epsilon: 0.75, Mean Loss: 33.44, Median Loss: 33.44, Std Loss: 33.44, Mean Reward: 1.21, Median Reward: 2.00, Std Reward: 98.40
Episode: 78, step: 9, Pop: 9/5, Epsilon: 0.74, Mean Loss: 66.60, Median Loss: 66.60, Std Loss: 66.60, Mean Reward: -0.32, Median Reward: 0.00, Std Reward: -30.80
Episode: 79, step: 9, Pop: 7/5, Epsilon: 0.74, Mean Loss: 68.26, Median Loss: 68.26, Std Loss: 68.26, Mean Reward: -0.14, Median Reward: 2.00, Std Reward: -10.70
Episode: 80, step: 9, Pop: 7/5, Epsilon: 0.74, Mean Loss: 53.50, Median Loss: 53.50, Std Loss: 53.50, Mean Reward: -1.31, Median Reward: 0.00, Std Reward: -111.10
Episode: 81, step: 9, Pop: 7/5, Epsilon: 0.74, Mean Loss: 34.74, Median Loss: 34.74, Std Loss: 34.74, Mean Reward: -0.71, Median Reward: 0.00, Std Reward: -59.30
Episode: 82, step: 9, Pop: 7/5, Epsilon: 0.73, Mean Loss: 58.12, Median Loss: 58.12, Std Loss: 58.12, Mean Reward: 2.93, Median Reward: 4.00, Std Reward: 240.40
Episode: 83, step: 9, Pop: 7/5, Epsilon: 0.73, Mean Loss: 36.56, Median Loss: 36.56, Std Loss: 36.56, Mean Reward: 0.61, Median Reward: 2.00, Std Reward: 45.80
Episode: 84, step: 9, Pop: 7/5, Epsilon: 0.73, Mean Loss: 46.93, Median Loss: 46.93, Std Loss: 46.93, Mean Reward: 1.34, Median Reward: 2.00, Std Reward: 108.40
Episode: 85, step: 9, Pop: 7/5, Epsilon: 0.72, Mean Loss: 56.18, Median Loss: 56.18, Std Loss: 56.18, Mean Reward: -1.02, Median Reward: 0.00, Std Reward: -99.10
Episode: 86, step: 9, Pop: 7/5, Epsilon: 0.72, Mean Loss: 93.44, Median Loss: 93.44, Std Loss: 93.44, Mean Reward: -0.64, Median Reward: 0.00, Std Reward: -49.50
Episode: 87, step: 9, Pop: 8/5, Epsilon: 0.72, Mean Loss: 53.33, Median Loss: 53.33, Std Loss: 53.33, Mean Reward: -1.91, Median Reward: 0.00, Std Reward: -164.50
Episode: 88, step: 9, Pop: 8/5, Epsilon: 0.72, Mean Loss: 95.29, Median Loss: 95.29, Std Loss: 95.29, Mean Reward: 1.51, Median Reward: 0.00, Std Reward: 137.80
Episode: 89, step: 9, Pop: 10/5, Epsilon: 0.71, Mean Loss: 67.56, Median Loss: 67.56, Std Loss: 67.56, Mean Reward: 0.64, Median Reward: 2.00, Std Reward: 63.90
Episode: 90, step: 9, Pop: 6/5, Epsilon: 0.71, Mean Loss: 41.44, Median Loss: 41.44, Std Loss: 41.44, Mean Reward: -0.94, Median Reward: 0.00, Std Reward: -74.50
Episode: 91, step: 9, Pop: 10/5, Epsilon: 0.71, Mean Loss: 46.23, Median Loss: 46.23, Std Loss: 46.23, Mean Reward: 0.11, Median Reward: 2.00, Std Reward: 11.50
Episode: 92, step: 9, Pop: 10/5, Epsilon: 0.71, Mean Loss: 26.80, Median Loss: 26.80, Std Loss: 26.80, Mean Reward: 2.77, Median Reward: 4.00, Std Reward: 276.50
Episode: 93, step: 9, Pop: 2/5, Epsilon: 0.70, Mean Loss: 34.46, Median Loss: 34.46, Std Loss: 34.46, Mean Reward: -1.60, Median Reward: 0.00, Std Reward: -91.00
Episode: 94, step: 9, Pop: 5/5, Epsilon: 0.70, Mean Loss: 77.85, Median Loss: 77.85, Std Loss: 77.85, Mean Reward: -1.36, Median Reward: 0.00, Std Reward: -99.30
Episode: 95, step: 9, Pop: 8/5, Epsilon: 0.70, Mean Loss: 52.89, Median Loss: 52.89, Std Loss: 52.89, Mean Reward: -0.77, Median Reward: 0.00, Std Reward: -69.10
Episode: 96, step: 9, Pop: 9/5, Epsilon: 0.69, Mean Loss: 40.95, Median Loss: 40.95, Std Loss: 40.95, Mean Reward: -1.60, Median Reward: 0.00, Std Reward: -151.60
Episode: 97, step: 9, Pop: 8/5, Epsilon: 0.69, Mean Loss: 36.27, Median Loss: 36.27, Std Loss: 36.27, Mean Reward: 0.13, Median Reward: 0.00, Std Reward: 11.40
Episode: 98, step: 9, Pop: 7/5, Epsilon: 0.69, Mean Loss: 56.91, Median Loss: 56.91, Std Loss: 56.91, Mean Reward: -0.59, Median Reward: 0.00, Std Reward: -55.20
Episode: 99, step: 9, Pop: 6/5, Epsilon: 0.69, Mean Loss: 87.12, Median Loss: 87.12, Std Loss: 87.12, Mean Reward: -1.45, Median Reward: 0.00, Std Reward: -111.50
Episode: 100, step: 9, Pop: 4/5, Epsilon: 0.68, Mean Loss: 39.16, Median Loss: 39.16, Std Loss: 39.16, Mean Reward: -1.59, Median Reward: 0.00, Std Reward: -111.00
Episode: 101, step: 9, Pop: 6/5, Epsilon: 0.68, Mean Loss: 51.67, Median Loss: 51.67, Std Loss: 51.67, Mean Reward: -0.50, Median Reward: 0.00, Std Reward: -38.70
Episode: 102, step: 9, Pop: 7/5, Epsilon: 0.68, Mean Loss: 53.52, Median Loss: 53.52, Std Loss: 53.52, Mean Reward: -2.09, Median Reward: 0.00, Std Reward: -156.80
Episode: 103, step: 9, Pop: 7/5, Epsilon: 0.68, Mean Loss: 33.84, Median Loss: 33.84, Std Loss: 33.84, Mean Reward: -2.76, Median Reward: 0.00, Std Reward: -232.00
Episode: 104, step: 9, Pop: 6/5, Epsilon: 0.67, Mean Loss: 48.91, Median Loss: 48.91, Std Loss: 48.91, Mean Reward: 0.59, Median Reward: 2.00, Std Reward: 50.90
Episode: 105, step: 9, Pop: 6/5, Epsilon: 0.67, Mean Loss: 73.70, Median Loss: 73.70, Std Loss: 73.70, Mean Reward: 1.03, Median Reward: 2.00, Std Reward: 78.10
Episode: 106, step: 9, Pop: 9/5, Epsilon: 0.67, Mean Loss: 51.81, Median Loss: 51.81, Std Loss: 51.81, Mean Reward: 0.92, Median Reward: 2.00, Std Reward: 90.10
Episode: 107, step: 9, Pop: 5/5, Epsilon: 0.67, Mean Loss: 57.57, Median Loss: 57.57, Std Loss: 57.57, Mean Reward: -0.71, Median Reward: 0.00, Std Reward: -55.30
Episode: 108, step: 9, Pop: 6/5, Epsilon: 0.66, Mean Loss: 60.92, Median Loss: 60.92, Std Loss: 60.92, Mean Reward: 1.44, Median Reward: 2.00, Std Reward: 109.10
Episode: 109, step: 9, Pop: 8/5, Epsilon: 0.66, Mean Loss: 35.82, Median Loss: 35.82, Std Loss: 35.82, Mean Reward: 0.54, Median Reward: 0.00, Std Reward: 50.30
Episode: 110, step: 9, Pop: 8/5, Epsilon: 0.66, Mean Loss: 67.28, Median Loss: 67.28, Std Loss: 67.28, Mean Reward: -0.00, Median Reward: 2.00, Std Reward: -0.30
Episode: 111, step: 9, Pop: 9/5, Epsilon: 0.66, Mean Loss: 34.61, Median Loss: 34.61, Std Loss: 34.61, Mean Reward: 0.39, Median Reward: 0.00, Std Reward: 36.50
Episode: 112, step: 9, Pop: 7/5, Epsilon: 0.65, Mean Loss: 56.05, Median Loss: 56.05, Std Loss: 56.05, Mean Reward: 1.44, Median Reward: 2.00, Std Reward: 119.20
Episode: 113, step: 9, Pop: 5/5, Epsilon: 0.65, Mean Loss: 54.95, Median Loss: 54.95, Std Loss: 54.95, Mean Reward: -2.06, Median Reward: 0.00, Std Reward: -146.30
Episode: 114, step: 9, Pop: 9/5, Epsilon: 0.65, Mean Loss: 74.91, Median Loss: 74.91, Std Loss: 74.91, Mean Reward: -0.07, Median Reward: 0.00, Std Reward: -6.50
Episode: 115, step: 9, Pop: 8/5, Epsilon: 0.65, Mean Loss: 53.79, Median Loss: 53.79, Std Loss: 53.79, Mean Reward: -0.41, Median Reward: 0.00, Std Reward: -33.70
Episode: 116, step: 9, Pop: 6/5, Epsilon: 0.64, Mean Loss: 56.19, Median Loss: 56.19, Std Loss: 56.19, Mean Reward: -0.38, Median Reward: 0.00, Std Reward: -29.20
Episode: 117, step: 9, Pop: 7/5, Epsilon: 0.64, Mean Loss: 67.20, Median Loss: 67.20, Std Loss: 67.20, Mean Reward: -0.88, Median Reward: 0.00, Std Reward: -75.00
Episode: 118, step: 9, Pop: 5/5, Epsilon: 0.64, Mean Loss: 29.77, Median Loss: 29.77, Std Loss: 29.77, Mean Reward: -1.72, Median Reward: 0.00, Std Reward: -136.00
Episode: 119, step: 9, Pop: 9/5, Epsilon: 0.64, Mean Loss: 40.44, Median Loss: 40.44, Std Loss: 40.44, Mean Reward: 1.66, Median Reward: -5.00, Std Reward: 149.30
Episode: 120, step: 9, Pop: 7/5, Epsilon: 0.63, Mean Loss: 44.08, Median Loss: 44.08, Std Loss: 44.08, Mean Reward: -1.92, Median Reward: 0.00, Std Reward: -176.80
Episode: 121, step: 9, Pop: 9/5, Epsilon: 0.63, Mean Loss: 49.35, Median Loss: 49.35, Std Loss: 49.35, Mean Reward: 1.37, Median Reward: 2.00, Std Reward: 127.30
Episode: 122, step: 9, Pop: 4/5, Epsilon: 0.63, Mean Loss: 43.01, Median Loss: 43.01, Std Loss: 43.01, Mean Reward: -1.74, Median Reward: 0.00, Std Reward: -120.00
Episode: 123, step: 9, Pop: 6/5, Epsilon: 0.63, Mean Loss: 49.12, Median Loss: 49.12, Std Loss: 49.12, Mean Reward: -0.39, Median Reward: 0.00, Std Reward: -29.10
Episode: 124, step: 9, Pop: 8/5, Epsilon: 0.63, Mean Loss: 36.74, Median Loss: 36.74, Std Loss: 36.74, Mean Reward: -0.81, Median Reward: 0.00, Std Reward: -76.60
Episode: 125, step: 9, Pop: 9/5, Epsilon: 0.62, Mean Loss: 62.27, Median Loss: 62.27, Std Loss: 62.27, Mean Reward: -0.01, Median Reward: 2.00, Std Reward: -1.20
Episode: 126, step: 9, Pop: 8/5, Epsilon: 0.62, Mean Loss: 45.61, Median Loss: 45.61, Std Loss: 45.61, Mean Reward: 2.68, Median Reward: 2.00, Std Reward: 233.10
Episode: 127, step: 9, Pop: 8/5, Epsilon: 0.62, Mean Loss: 84.89, Median Loss: 84.89, Std Loss: 84.89, Mean Reward: -1.02, Median Reward: 0.00, Std Reward: -88.80
Episode: 128, step: 9, Pop: 6/5, Epsilon: 0.62, Mean Loss: 78.67, Median Loss: 78.67, Std Loss: 78.67, Mean Reward: -1.80, Median Reward: 0.00, Std Reward: -157.00
Episode: 129, step: 9, Pop: 7/5, Epsilon: 0.61, Mean Loss: 39.95, Median Loss: 39.95, Std Loss: 39.95, Mean Reward: 0.01, Median Reward: 0.00, Std Reward: 0.80
Episode: 130, step: 9, Pop: 6/5, Epsilon: 0.61, Mean Loss: 55.64, Median Loss: 55.64, Std Loss: 55.64, Mean Reward: 0.60, Median Reward: 2.00, Std Reward: 50.10
Episode: 131, step: 9, Pop: 7/5, Epsilon: 0.61, Mean Loss: 51.69, Median Loss: 51.69, Std Loss: 51.69, Mean Reward: -0.08, Median Reward: 2.00, Std Reward: -6.50
Episode: 132, step: 9, Pop: 5/5, Epsilon: 0.61, Mean Loss: 71.66, Median Loss: 71.66, Std Loss: 71.66, Mean Reward: 1.12, Median Reward: 2.00, Std Reward: 87.00
Episode: 133, step: 9, Pop: 7/5, Epsilon: 0.60, Mean Loss: 51.05, Median Loss: 51.05, Std Loss: 51.05, Mean Reward: -0.24, Median Reward: 0.00, Std Reward: -19.50
Episode: 134, step: 9, Pop: 8/5, Epsilon: 0.60, Mean Loss: 52.49, Median Loss: 52.49, Std Loss: 52.49, Mean Reward: 2.89, Median Reward: 2.00, Std Reward: 262.60
Episode: 135, step: 9, Pop: 7/5, Epsilon: 0.60, Mean Loss: 56.16, Median Loss: 56.16, Std Loss: 56.16, Mean Reward: -1.59, Median Reward: 0.00, Std Reward: -141.60
Episode: 136, step: 9, Pop: 9/5, Epsilon: 0.60, Mean Loss: 63.46, Median Loss: 63.46, Std Loss: 63.46, Mean Reward: 0.55, Median Reward: 2.00, Std Reward: 49.80
Episode: 137, step: 9, Pop: 6/5, Epsilon: 0.60, Mean Loss: 67.59, Median Loss: 67.59, Std Loss: 67.59, Mean Reward: -0.43, Median Reward: 2.00, Std Reward: -28.70
Episode: 138, step: 9, Pop: 5/5, Epsilon: 0.59, Mean Loss: 39.85, Median Loss: 39.85, Std Loss: 39.85, Mean Reward: -0.25, Median Reward: 0.00, Std Reward: -18.10
