Episode: 78, step: 9, Pop: 9/5, Epsilon: 0.74, Mean Loss: 57.31, Median Loss: 57.31, Std Loss: 57.31, Mean Reward: -2.04, Median Reward: 0.95, Std Reward: -102.00
Episode: 79, step: 9, Pop: 7/5, Epsilon: 0.74, Mean Loss: 49.27, Median Loss: 49.27, Std Loss: 49.27, Mean Reward: -0.62, Median Reward: 0.45, Std Reward: -30.90
Episode: 80, step: 9, Pop: 7/5, Epsilon: 0.74, Mean Loss: 23.63, Median Loss: 23.63, Std Loss: 23.63, Mean Reward: -1.95, Median Reward: 0.45, Std Reward: -97.60
Episode: 81, step: 9, Pop: 7/5, Epsilon: 0.74, Mean Loss: 30.04, Median Loss: 30.04, Std Loss: 30.04, Mean Reward: -0.67, Median Reward: 0.95, Std Reward: -33.50
Episode: 82, step: 9, Pop: 7/5, Epsilon: 0.73, Mean Loss: 46.39, Median Loss: 46.39, Std Loss: 46.39, Mean Reward: -0.23, Median Reward: 0.95, Std Reward: -11.50
Episode: 83, step: 9, Pop: 7/5, Epsilon: 0.73, Mean Loss: 44.60, Median Loss: 44.60, Std Loss: 44.60, Mean Reward: -1.72, Median Reward: 0.05, Std Reward: -85.80
Episode: 84, step: 9, Pop: 7/5, Epsilon: 0.73, Mean Loss: 35.96, Median Loss: 35.96, Std Loss: 35.96, Mean Reward: -1.01, Median Reward: 0.45, Std Reward: -50.50
Episode: 85, step: 9, Pop: 7/5, Epsilon: 0.72, Mean Loss: 51.13, Median Loss: 51.13, Std Loss: 51.13, Mean Reward: -0.60, Median Reward: 0.95, Std Reward: -30.00
Episode: 86, step: 9, Pop: 7/5, Epsilon: 0.72, Mean Loss: 52.02, Median Loss: 52.02, Std Loss: 52.02, Mean Reward: -1.35, Median Reward: 0.45, Std Reward: -67.40
Episode: 87, step: 9, Pop: 8/5, Epsilon: 0.72, Mean Loss: 56.08, Median Loss: 56.08, Std Loss: 56.08, Mean Reward: -1.99, Median Reward: 0.45, Std Reward: -99.70
Episode: 88, step: 9, Pop: 8/5, Epsilon: 0.72, Mean Loss: 29.00, Median Loss: 29.00, Std Loss: 29.00, Mean Reward: -2.87, Median Reward: -0.05, Std Reward: -143.50
Episode: 89, step: 9, Pop: 10/5, Epsilon: 0.71, Mean Loss: 44.74, Median Loss: 44.74, Std Loss: 44.74, Mean Reward: -4.18, Median Reward: -8.05, Std Reward: -209.20
Episode: 90, step: 9, Pop: 6/5, Epsilon: 0.71, Mean Loss: 60.06, Median Loss: 60.06, Std Loss: 60.06, Mean Reward: -0.32, Median Reward: 0.95, Std Reward: -15.90
Episode: 91, step: 9, Pop: 10/5, Epsilon: 0.71, Mean Loss: 66.83, Median Loss: 66.83, Std Loss: 66.83, Mean Reward: -2.75, Median Reward: 0.70, Std Reward: -137.50
Episode: 92, step: 9, Pop: 10/5, Epsilon: 0.71, Mean Loss: 51.91, Median Loss: 51.91, Std Loss: 51.91, Mean Reward: -1.89, Median Reward: 0.45, Std Reward: -94.60
Episode: 93, step: 9, Pop: 2/5, Epsilon: 0.70, Mean Loss: 53.41, Median Loss: 53.41, Std Loss: 53.41, Mean Reward: 3.05, Median Reward: 0.95, Std Reward: 152.30
Episode: 94, step: 9, Pop: 5/5, Epsilon: 0.70, Mean Loss: 51.89, Median Loss: 51.89, Std Loss: 51.89, Mean Reward: 0.24, Median Reward: 0.95, Std Reward: 12.00
Episode: 95, step: 9, Pop: 8/5, Epsilon: 0.70, Mean Loss: 63.76, Median Loss: 63.76, Std Loss: 63.76, Mean Reward: -0.67, Median Reward: 0.45, Std Reward: -33.30
Episode: 96, step: 9, Pop: 9/5, Epsilon: 0.69, Mean Loss: 51.89, Median Loss: 51.89, Std Loss: 51.89, Mean Reward: -1.30, Median Reward: 0.95, Std Reward: -65.00
Episode: 97, step: 9, Pop: 8/5, Epsilon: 0.69, Mean Loss: 45.65, Median Loss: 45.65, Std Loss: 45.65, Mean Reward: -1.11, Median Reward: 0.70, Std Reward: -55.70
Episode: 98, step: 9, Pop: 7/5, Epsilon: 0.69, Mean Loss: 62.25, Median Loss: 62.25, Std Loss: 62.25, Mean Reward: -0.15, Median Reward: 0.95, Std Reward: -7.50
Episode: 99, step: 9, Pop: 6/5, Epsilon: 0.69, Mean Loss: 44.13, Median Loss: 44.13, Std Loss: 44.13, Mean Reward: 0.07, Median Reward: 0.95, Std Reward: 3.50
Episode: 100, step: 9, Pop: 4/5, Epsilon: 0.68, Mean Loss: 44.99, Median Loss: 44.99, Std Loss: 44.99, Mean Reward: 1.22, Median Reward: 0.70, Std Reward: 61.10
Episode: 101, step: 9, Pop: 6/5, Epsilon: 0.68, Mean Loss: 25.49, Median Loss: 25.49, Std Loss: 25.49, Mean Reward: -0.36, Median Reward: 0.95, Std Reward: -18.00
Episode: 102, step: 9, Pop: 7/5, Epsilon: 0.68, Mean Loss: 56.34, Median Loss: 56.34, Std Loss: 56.34, Mean Reward: -0.25, Median Reward: 0.95, Std Reward: -12.50
Episode: 103, step: 9, Pop: 7/5, Epsilon: 0.68, Mean Loss: 52.62, Median Loss: 52.62, Std Loss: 52.62, Mean Reward: -1.02, Median Reward: 0.45, Std Reward: -51.00
Episode: 104, step: 9, Pop: 6/5, Epsilon: 0.67, Mean Loss: 64.93, Median Loss: 64.93, Std Loss: 64.93, Mean Reward: -1.72, Median Reward: -0.05, Std Reward: -85.80
Episode: 105, step: 9, Pop: 6/5, Epsilon: 0.67, Mean Loss: 32.17, Median Loss: 32.17, Std Loss: 32.17, Mean Reward: -0.57, Median Reward: 0.95, Std Reward: -28.50
Episode: 106, step: 9, Pop: 9/5, Epsilon: 0.67, Mean Loss: 74.64, Median Loss: 74.64, Std Loss: 74.64, Mean Reward: -1.75, Median Reward: 0.45, Std Reward: -87.50
Episode: 107, step: 9, Pop: 5/5, Epsilon: 0.67, Mean Loss: 40.33, Median Loss: 40.33, Std Loss: 40.33, Mean Reward: 1.01, Median Reward: 0.95, Std Reward: 50.50
Episode: 108, step: 9, Pop: 6/5, Epsilon: 0.66, Mean Loss: 42.74, Median Loss: 42.74, Std Loss: 42.74, Mean Reward: 0.22, Median Reward: 0.95, Std Reward: 11.00
Episode: 109, step: 9, Pop: 8/5, Epsilon: 0.66, Mean Loss: 44.72, Median Loss: 44.72, Std Loss: 44.72, Mean Reward: -0.57, Median Reward: 0.95, Std Reward: -28.50
Episode: 110, step: 9, Pop: 8/5, Epsilon: 0.66, Mean Loss: 26.68, Median Loss: 26.68, Std Loss: 26.68, Mean Reward: -0.78, Median Reward: 0.95, Std Reward: -39.00
Episode: 111, step: 9, Pop: 9/5, Epsilon: 0.66, Mean Loss: 22.52, Median Loss: 22.52, Std Loss: 22.52, Mean Reward: -1.38, Median Reward: 0.95, Std Reward: -69.00
Episode: 112, step: 9, Pop: 7/5, Epsilon: 0.65, Mean Loss: 40.33, Median Loss: 40.33, Std Loss: 40.33, Mean Reward: -0.27, Median Reward: 0.70, Std Reward: -13.60
Episode: 113, step: 9, Pop: 5/5, Epsilon: 0.65, Mean Loss: 49.21, Median Loss: 49.21, Std Loss: 49.21, Mean Reward: -0.42, Median Reward: 0.95, Std Reward: -20.90
Episode: 114, step: 9, Pop: 9/5, Epsilon: 0.65, Mean Loss: 49.28, Median Loss: 49.28, Std Loss: 49.28, Mean Reward: -1.30, Median Reward: 0.95, Std Reward: -65.00
Episode: 115, step: 9, Pop: 8/5, Epsilon: 0.65, Mean Loss: 22.63, Median Loss: 22.63, Std Loss: 22.63, Mean Reward: -0.78, Median Reward: 0.95, Std Reward: -39.00
