Episode: 45, step: 9, Pop: 8/5, Epsilon: 0.84, Mean Loss: 59.13, Median Loss: 59.13, Std Loss: 59.13, Mean Reward: 0.24, Median Reward: 0.00, Std Reward: 22.10
Episode: 46, step: 9, Pop: 7/5, Epsilon: 0.84, Mean Loss: 59.47, Median Loss: 59.47, Std Loss: 59.47, Mean Reward: -0.25, Median Reward: 0.00, Std Reward: -19.80
Episode: 47, step: 9, Pop: 8/5, Epsilon: 0.84, Mean Loss: 50.22, Median Loss: 50.22, Std Loss: 50.22, Mean Reward: 0.44, Median Reward: 2.00, Std Reward: 41.10
Episode: 48, step: 9, Pop: 7/5, Epsilon: 0.83, Mean Loss: 62.10, Median Loss: 62.10, Std Loss: 62.10, Mean Reward: 0.22, Median Reward: 2.00, Std Reward: 18.90
Episode: 49, step: 9, Pop: 7/5, Epsilon: 0.83, Mean Loss: 36.51, Median Loss: 36.51, Std Loss: 36.51, Mean Reward: -1.09, Median Reward: 0.00, Std Reward: -90.40
Episode: 50, step: 9, Pop: 5/5, Epsilon: 0.83, Mean Loss: 66.31, Median Loss: 66.31, Std Loss: 66.31, Mean Reward: -0.08, Median Reward: 0.00, Std Reward: -4.30
Episode: 51, step: 9, Pop: 8/5, Epsilon: 0.82, Mean Loss: 57.08, Median Loss: 57.08, Std Loss: 57.08, Mean Reward: 0.35, Median Reward: 0.00, Std Reward: 32.50
Episode: 52, step: 9, Pop: 7/5, Epsilon: 0.82, Mean Loss: 43.76, Median Loss: 43.76, Std Loss: 43.76, Mean Reward: -0.28, Median Reward: 0.00, Std Reward: -21.60
Episode: 53, step: 9, Pop: 7/5, Epsilon: 0.82, Mean Loss: 59.26, Median Loss: 59.26, Std Loss: 59.26, Mean Reward: -1.93, Median Reward: 0.00, Std Reward: -154.00
Episode: 54, step: 9, Pop: 7/5, Epsilon: 0.81, Mean Loss: 59.83, Median Loss: 59.83, Std Loss: 59.83, Mean Reward: -0.65, Median Reward: 0.00, Std Reward: -56.90
Episode: 55, step: 9, Pop: 8/5, Epsilon: 0.81, Mean Loss: 58.80, Median Loss: 58.80, Std Loss: 58.80, Mean Reward: -0.01, Median Reward: 0.00, Std Reward: -1.20
Episode: 56, step: 9, Pop: 7/5, Epsilon: 0.81, Mean Loss: 62.59, Median Loss: 62.59, Std Loss: 62.59, Mean Reward: 0.75, Median Reward: 2.00, Std Reward: 58.20
Episode: 57, step: 9, Pop: 8/5, Epsilon: 0.81, Mean Loss: 47.82, Median Loss: 47.82, Std Loss: 47.82, Mean Reward: 0.33, Median Reward: 2.00, Std Reward: 30.40
Episode: 58, step: 9, Pop: 8/5, Epsilon: 0.80, Mean Loss: 56.88, Median Loss: 56.88, Std Loss: 56.88, Mean Reward: 1.26, Median Reward: 2.00, Std Reward: 112.40
Episode: 59, step: 9, Pop: 9/5, Epsilon: 0.80, Mean Loss: 36.20, Median Loss: 36.20, Std Loss: 36.20, Mean Reward: 1.66, Median Reward: 2.00, Std Reward: 159.40
Episode: 60, step: 9, Pop: 8/5, Epsilon: 0.80, Mean Loss: 82.31, Median Loss: 82.31, Std Loss: 82.31, Mean Reward: 1.51, Median Reward: 2.00, Std Reward: 139.30
Episode: 61, step: 9, Pop: 6/5, Epsilon: 0.79, Mean Loss: 70.16, Median Loss: 70.16, Std Loss: 70.16, Mean Reward: -0.45, Median Reward: 0.00, Std Reward: -34.10
Episode: 62, step: 9, Pop: 3/5, Epsilon: 0.79, Mean Loss: 56.83, Median Loss: 56.83, Std Loss: 56.83, Mean Reward: -1.93, Median Reward: 0.00, Std Reward: -98.30
Episode: 63, step: 9, Pop: 9/5, Epsilon: 0.79, Mean Loss: 71.77, Median Loss: 71.77, Std Loss: 71.77, Mean Reward: 1.32, Median Reward: 2.00, Std Reward: 124.20
Episode: 64, step: 9, Pop: 8/5, Epsilon: 0.78, Mean Loss: 54.11, Median Loss: 54.11, Std Loss: 54.11, Mean Reward: 0.94, Median Reward: 2.00, Std Reward: 84.50
Episode: 65, step: 9, Pop: 7/5, Epsilon: 0.78, Mean Loss: 97.16, Median Loss: 97.16, Std Loss: 97.16, Mean Reward: -0.30, Median Reward: 0.00, Std Reward: -24.00
Episode: 66, step: 9, Pop: 8/5, Epsilon: 0.78, Mean Loss: 38.16, Median Loss: 38.16, Std Loss: 38.16, Mean Reward: 0.24, Median Reward: 2.00, Std Reward: 19.80
Episode: 67, step: 9, Pop: 6/5, Epsilon: 0.78, Mean Loss: 62.54, Median Loss: 62.54, Std Loss: 62.54, Mean Reward: -1.06, Median Reward: 0.00, Std Reward: -74.50
Episode: 68, step: 9, Pop: 6/5, Epsilon: 0.77, Mean Loss: 63.74, Median Loss: 63.74, Std Loss: 63.74, Mean Reward: 1.61, Median Reward: 2.00, Std Reward: 123.80
