Episode: 55, step: 9, Pop: 8/5, Epsilon: 0.81, Mean Loss: 33.78, Median Loss: 33.78, Std Loss: 33.78, Mean Reward: -0.52, Median Reward: 0.95, Std Reward: -26.00
Episode: 56, step: 9, Pop: 8/5, Epsilon: 0.81, Mean Loss: 40.67, Median Loss: 40.67, Std Loss: 40.67, Mean Reward: -2.42, Median Reward: 0.70, Std Reward: -121.00
Episode: 57, step: 9, Pop: 6/5, Epsilon: 0.81, Mean Loss: 49.74, Median Loss: 49.74, Std Loss: 49.74, Mean Reward: 0.24, Median Reward: 0.95, Std Reward: 12.00
Episode: 58, step: 9, Pop: 6/5, Epsilon: 0.80, Mean Loss: 16.72, Median Loss: 16.72, Std Loss: 16.72, Mean Reward: -0.19, Median Reward: 0.95, Std Reward: -9.50
Episode: 59, step: 9, Pop: 8/5, Epsilon: 0.80, Mean Loss: 26.52, Median Loss: 26.52, Std Loss: 26.52, Mean Reward: -2.34, Median Reward: 0.45, Std Reward: -117.00
Episode: 60, step: 9, Pop: 8/5, Epsilon: 0.80, Mean Loss: 43.72, Median Loss: 43.72, Std Loss: 43.72, Mean Reward: -3.96, Median Reward: -8.05, Std Reward: -198.00
Episode: 61, step: 9, Pop: 9/5, Epsilon: 0.79, Mean Loss: 40.94, Median Loss: 40.94, Std Loss: 40.94, Mean Reward: -0.99, Median Reward: 0.95, Std Reward: -49.50
Episode: 62, step: 9, Pop: 8/5, Epsilon: 0.79, Mean Loss: 40.26, Median Loss: 40.26, Std Loss: 40.26, Mean Reward: -0.43, Median Reward: 1.45, Std Reward: -21.50
Episode: 63, step: 9, Pop: 5/5, Epsilon: 0.79, Mean Loss: 50.87, Median Loss: 50.87, Std Loss: 50.87, Mean Reward: -0.76, Median Reward: 0.95, Std Reward: -37.90
Episode: 64, step: 9, Pop: 5/5, Epsilon: 0.78, Mean Loss: 44.66, Median Loss: 44.66, Std Loss: 44.66, Mean Reward: -0.07, Median Reward: 0.95, Std Reward: -3.70
Episode: 65, step: 9, Pop: 7/5, Epsilon: 0.78, Mean Loss: 34.01, Median Loss: 34.01, Std Loss: 34.01, Mean Reward: -1.28, Median Reward: 0.45, Std Reward: -64.00
Episode: 66, step: 9, Pop: 8/5, Epsilon: 0.78, Mean Loss: 42.73, Median Loss: 42.73, Std Loss: 42.73, Mean Reward: -0.67, Median Reward: 1.95, Std Reward: -33.50
Episode: 67, step: 9, Pop: 6/5, Epsilon: 0.78, Mean Loss: 29.55, Median Loss: 29.55, Std Loss: 29.55, Mean Reward: -0.95, Median Reward: 0.45, Std Reward: -47.70
Episode: 68, step: 9, Pop: 7/5, Epsilon: 0.77, Mean Loss: 62.71, Median Loss: 62.71, Std Loss: 62.71, Mean Reward: -0.18, Median Reward: 0.95, Std Reward: -9.00
