Episode: 55, step: 9, Pop: 8/5, Epsilon: 0.81, Mean Loss: 24.77, Median Loss: 24.77, Std Loss: 24.77, Mean Reward: 0.85, Median Reward: 0.00, Std Reward: 72.10
Episode: 56, step: 9, Pop: 8/5, Epsilon: 0.81, Mean Loss: 71.06, Median Loss: 71.06, Std Loss: 71.06, Mean Reward: -1.22, Median Reward: 0.00, Std Reward: -108.40
Episode: 57, step: 9, Pop: 6/5, Epsilon: 0.81, Mean Loss: 89.26, Median Loss: 89.26, Std Loss: 89.26, Mean Reward: -0.65, Median Reward: 2.00, Std Reward: -47.30
Episode: 58, step: 9, Pop: 6/5, Epsilon: 0.80, Mean Loss: 56.18, Median Loss: 56.18, Std Loss: 56.18, Mean Reward: -0.98, Median Reward: 0.00, Std Reward: -65.60
Episode: 59, step: 9, Pop: 8/5, Epsilon: 0.80, Mean Loss: 30.19, Median Loss: 30.19, Std Loss: 30.19, Mean Reward: -0.04, Median Reward: 2.00, Std Reward: -3.90
Episode: 60, step: 9, Pop: 8/5, Epsilon: 0.80, Mean Loss: 31.94, Median Loss: 31.94, Std Loss: 31.94, Mean Reward: -0.86, Median Reward: 0.00, Std Reward: -80.70
Episode: 61, step: 9, Pop: 9/5, Epsilon: 0.79, Mean Loss: 61.85, Median Loss: 61.85, Std Loss: 61.85, Mean Reward: -1.36, Median Reward: 0.00, Std Reward: -128.90
Episode: 62, step: 9, Pop: 8/5, Epsilon: 0.79, Mean Loss: 67.19, Median Loss: 67.19, Std Loss: 67.19, Mean Reward: 1.41, Median Reward: 2.00, Std Reward: 128.50
Episode: 63, step: 9, Pop: 5/5, Epsilon: 0.79, Mean Loss: 56.11, Median Loss: 56.11, Std Loss: 56.11, Mean Reward: -0.25, Median Reward: 0.00, Std Reward: -18.00
Episode: 64, step: 9, Pop: 5/5, Epsilon: 0.78, Mean Loss: 48.67, Median Loss: 48.67, Std Loss: 48.67, Mean Reward: -0.42, Median Reward: 0.00, Std Reward: -29.20
Episode: 65, step: 9, Pop: 7/5, Epsilon: 0.78, Mean Loss: 60.31, Median Loss: 60.31, Std Loss: 60.31, Mean Reward: 2.27, Median Reward: 2.00, Std Reward: 191.00
Episode: 66, step: 9, Pop: 8/5, Epsilon: 0.78, Mean Loss: 70.27, Median Loss: 70.27, Std Loss: 70.27, Mean Reward: -0.90, Median Reward: 0.00, Std Reward: -80.00
Episode: 67, step: 9, Pop: 6/5, Epsilon: 0.78, Mean Loss: 30.86, Median Loss: 30.86, Std Loss: 30.86, Mean Reward: -2.38, Median Reward: 0.00, Std Reward: -164.00
Episode: 68, step: 9, Pop: 7/5, Epsilon: 0.77, Mean Loss: 47.71, Median Loss: 47.71, Std Loss: 47.71, Mean Reward: -2.15, Median Reward: 0.00, Std Reward: -195.30
Episode: 69, step: 9, Pop: 9/5, Epsilon: 0.77, Mean Loss: 61.83, Median Loss: 61.83, Std Loss: 61.83, Mean Reward: 1.22, Median Reward: 2.00, Std Reward: 110.90
Episode: 70, step: 9, Pop: 5/5, Epsilon: 0.77, Mean Loss: 84.65, Median Loss: 84.65, Std Loss: 84.65, Mean Reward: -0.69, Median Reward: 1.00, Std Reward: -53.70
Episode: 71, step: 9, Pop: 8/5, Epsilon: 0.76, Mean Loss: 58.67, Median Loss: 58.67, Std Loss: 58.67, Mean Reward: -0.50, Median Reward: 0.00, Std Reward: -45.10
Episode: 72, step: 9, Pop: 7/5, Epsilon: 0.76, Mean Loss: 53.01, Median Loss: 53.01, Std Loss: 53.01, Mean Reward: -0.02, Median Reward: 2.00, Std Reward: -2.10
Episode: 73, step: 9, Pop: 6/5, Epsilon: 0.76, Mean Loss: 47.98, Median Loss: 47.98, Std Loss: 47.98, Mean Reward: 0.27, Median Reward: 2.00, Std Reward: 18.80
Episode: 74, step: 9, Pop: 6/5, Epsilon: 0.76, Mean Loss: 25.08, Median Loss: 25.08, Std Loss: 25.08, Mean Reward: -1.08, Median Reward: 0.00, Std Reward: -84.60
Episode: 75, step: 9, Pop: 6/5, Epsilon: 0.75, Mean Loss: 59.81, Median Loss: 59.81, Std Loss: 59.81, Mean Reward: 1.49, Median Reward: 2.00, Std Reward: 128.00
Episode: 76, step: 9, Pop: 7/5, Epsilon: 0.75, Mean Loss: 49.28, Median Loss: 49.28, Std Loss: 49.28, Mean Reward: 0.08, Median Reward: 2.00, Std Reward: 6.50
Episode: 77, step: 9, Pop: 8/5, Epsilon: 0.75, Mean Loss: 38.22, Median Loss: 38.22, Std Loss: 38.22, Mean Reward: 0.30, Median Reward: 2.00, Std Reward: 26.70
Episode: 78, step: 9, Pop: 9/5, Epsilon: 0.74, Mean Loss: 26.71, Median Loss: 26.71, Std Loss: 26.71, Mean Reward: -1.57, Median Reward: 0.00, Std Reward: -148.00
Episode: 79, step: 9, Pop: 8/5, Epsilon: 0.74, Mean Loss: 53.68, Median Loss: 53.68, Std Loss: 53.68, Mean Reward: -0.31, Median Reward: 2.00, Std Reward: -28.80
Episode: 80, step: 9, Pop: 7/5, Epsilon: 0.74, Mean Loss: 37.72, Median Loss: 37.72, Std Loss: 37.72, Mean Reward: -3.21, Median Reward: 0.00, Std Reward: -270.00
Episode: 81, step: 9, Pop: 5/5, Epsilon: 0.74, Mean Loss: 44.95, Median Loss: 44.95, Std Loss: 44.95, Mean Reward: -1.08, Median Reward: 0.00, Std Reward: -79.90
Episode: 82, step: 9, Pop: 7/5, Epsilon: 0.73, Mean Loss: 64.02, Median Loss: 64.02, Std Loss: 64.02, Mean Reward: 2.38, Median Reward: 2.00, Std Reward: 185.80
Episode: 83, step: 9, Pop: 6/5, Epsilon: 0.73, Mean Loss: 39.11, Median Loss: 39.11, Std Loss: 39.11, Mean Reward: -2.40, Median Reward: 0.00, Std Reward: -199.00
Episode: 84, step: 9, Pop: 7/5, Epsilon: 0.73, Mean Loss: 53.02, Median Loss: 53.02, Std Loss: 53.02, Mean Reward: 0.32, Median Reward: 1.00, Std Reward: 27.00
Episode: 85, step: 9, Pop: 7/5, Epsilon: 0.72, Mean Loss: 41.26, Median Loss: 41.26, Std Loss: 41.26, Mean Reward: -1.10, Median Reward: 0.00, Std Reward: -96.10
Episode: 86, step: 9, Pop: 9/5, Epsilon: 0.72, Mean Loss: 62.74, Median Loss: 62.74, Std Loss: 62.74, Mean Reward: 2.11, Median Reward: 2.00, Std Reward: 207.00
Episode: 87, step: 9, Pop: 6/5, Epsilon: 0.72, Mean Loss: 32.37, Median Loss: 32.37, Std Loss: 32.37, Mean Reward: 1.21, Median Reward: 2.00, Std Reward: 102.80
Episode: 88, step: 9, Pop: 7/5, Epsilon: 0.72, Mean Loss: 67.83, Median Loss: 67.83, Std Loss: 67.83, Mean Reward: 1.78, Median Reward: 2.00, Std Reward: 133.40
Episode: 89, step: 9, Pop: 5/5, Epsilon: 0.71, Mean Loss: 79.51, Median Loss: 79.51, Std Loss: 79.51, Mean Reward: 0.07, Median Reward: 0.00, Std Reward: 4.90
Episode: 90, step: 9, Pop: 9/5, Epsilon: 0.71, Mean Loss: 75.59, Median Loss: 75.59, Std Loss: 75.59, Mean Reward: -0.02, Median Reward: 0.00, Std Reward: -2.10
Episode: 91, step: 9, Pop: 9/5, Epsilon: 0.71, Mean Loss: 79.11, Median Loss: 79.11, Std Loss: 79.11, Mean Reward: 1.73, Median Reward: 2.00, Std Reward: 157.80
Episode: 92, step: 9, Pop: 9/5, Epsilon: 0.71, Mean Loss: 66.64, Median Loss: 66.64, Std Loss: 66.64, Mean Reward: 0.86, Median Reward: 2.00, Std Reward: 79.60
Episode: 93, step: 9, Pop: 7/5, Epsilon: 0.70, Mean Loss: 55.37, Median Loss: 55.37, Std Loss: 55.37, Mean Reward: -0.25, Median Reward: 1.00, Std Reward: -22.60
Episode: 94, step: 9, Pop: 7/5, Epsilon: 0.70, Mean Loss: 66.00, Median Loss: 66.00, Std Loss: 66.00, Mean Reward: 1.00, Median Reward: 2.00, Std Reward: 83.20
Episode: 95, step: 9, Pop: 9/5, Epsilon: 0.70, Mean Loss: 70.16, Median Loss: 70.16, Std Loss: 70.16, Mean Reward: 0.84, Median Reward: 2.00, Std Reward: 84.20
Episode: 96, step: 9, Pop: 7/5, Epsilon: 0.69, Mean Loss: 82.43, Median Loss: 82.43, Std Loss: 82.43, Mean Reward: -0.39, Median Reward: 2.00, Std Reward: -30.80
Episode: 97, step: 9, Pop: 9/5, Epsilon: 0.69, Mean Loss: 53.97, Median Loss: 53.97, Std Loss: 53.97, Mean Reward: 0.26, Median Reward: 0.00, Std Reward: 24.50
Episode: 98, step: 9, Pop: 9/5, Epsilon: 0.69, Mean Loss: 38.86, Median Loss: 38.86, Std Loss: 38.86, Mean Reward: 0.92, Median Reward: 2.00, Std Reward: 88.80
